Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Northern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24106,
Western,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2918,
Western,,UCC,2023-12-01,Visits were completed at Urgent Care Centres,567,
Western,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26124,
Central,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,1297,
Central,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,5050,
Eastern,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1520,
Unknown,,VirtualCareNS,2023-12-01,Visits were completed through VirtualCareNS,10399,
Western,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6455,
Unknown,,VirtualCareNS,2023-12-01,Nova Scotians have registered for VirtualCareNS,85952,
Western,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,289,
Northern,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,768,
Western,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,353,
Northern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2090,
Central,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,933,
Northern,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1786,
Central,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,74318,
Northern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6342,
Western,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,418,
Eastern,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,2680,
Northern,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,774,
Western,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1893,
Eastern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,1980,
Eastern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14811,
Eastern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,5879,
Central,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,317,
Unknown,,Diabetes Centre,2023-12-01,Visits were completed at Diabetes Centres,4861,
Central,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,1081,
Eastern,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,93,
Central,,UCC,2023-12-01,Visits were completed at Urgent Care Centres,390,
Central,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,12037,
Eastern,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13771,
Western,,Mobile Primary Care,2023-11-01,Visits were completed at Mobile Primary Care Clinics,199,
Eastern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1952,
Northern,,UTC,2023-11-01,Visits were completed at Urgent Treatment Centres,994,
Northern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1202,
Unknown,,VirtualCareNS,2023-11-01,Visits were completed through VirtualCareNS,6792,
Eastern,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,5422,
Western,,Pharmacy+,2023-11-01,Visits were completed at Pharmacy+ Clinics,220,
Northern,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1888,
Central,,UCC,2023-11-01,Visits were completed at Urgent Care Centres,429,
Central,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1073,
