Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Unknown,,VirtualCareNS,2021-06-01,Nova Scotians have registered for VirtualCareNS,660,
Unknown,,VirtualCareNS,2021-07-01,Nova Scotians have registered for VirtualCareNS,2536,
Unknown,,VirtualCareNS,2021-08-01,Nova Scotians have registered for VirtualCareNS,3631,
Unknown,,VirtualCareNS,2021-09-01,Nova Scotians have registered for VirtualCareNS,4671,
Unknown,,VirtualCareNS,2021-10-01,Nova Scotians have registered for VirtualCareNS,4994,
Unknown,,VirtualCareNS,2021-11-01,Nova Scotians have registered for VirtualCareNS,6444,
Unknown,,VirtualCareNS,2021-12-01,Nova Scotians have registered for VirtualCareNS,10293,
Unknown,,VirtualCareNS,2022-01-01,Nova Scotians have registered for VirtualCareNS,12831,
Unknown,,VirtualCareNS,2022-02-01,Nova Scotians have registered for VirtualCareNS,15694,
Unknown,,VirtualCareNS,2022-03-01,Nova Scotians have registered for VirtualCareNS,17333,
Unknown,,VirtualCareNS,2022-04-01,Nova Scotians have registered for VirtualCareNS,19058,
Unknown,,VirtualCareNS,2022-05-01,Nova Scotians have registered for VirtualCareNS,21369,
Unknown,,VirtualCareNS,2022-06-01,Nova Scotians have registered for VirtualCareNS,22098,
Unknown,,VirtualCareNS,2022-07-01,Nova Scotians have registered for VirtualCareNS,22834,
Unknown,,VirtualCareNS,2022-08-01,Nova Scotians have registered for VirtualCareNS,23700,
Unknown,,VirtualCareNS,2022-09-01,Nova Scotians have registered for VirtualCareNS,33500,
Unknown,,VirtualCareNS,2022-10-01,Nova Scotians have registered for VirtualCareNS,38883,
Unknown,,VirtualCareNS,2022-11-01,Nova Scotians have registered for VirtualCareNS,42822,
Unknown,,VirtualCareNS,2022-12-01,Nova Scotians have registered for VirtualCareNS,47305,
Unknown,,VirtualCareNS,2023-01-01,Nova Scotians have registered for VirtualCareNS,51624,
Unknown,,VirtualCareNS,2023-02-01,Nova Scotians have registered for VirtualCareNS,54811,
Unknown,,VirtualCareNS,2023-03-01,Nova Scotians have registered for VirtualCareNS,57620,
Unknown,,VirtualCareNS,2023-04-01,Nova Scotians have registered for VirtualCareNS,60942,
Unknown,,VirtualCareNS,2023-05-01,Nova Scotians have registered for VirtualCareNS,63397,
Unknown,,VirtualCareNS,2023-06-01,Nova Scotians have registered for VirtualCareNS,64463,
Unknown,,VirtualCareNS,2023-07-01,Nova Scotians have registered for VirtualCareNS,66374,
Unknown,,VirtualCareNS,2023-08-01,Nova Scotians have registered for VirtualCareNS,69055,
Unknown,,VirtualCareNS,2023-09-01,Nova Scotians have registered for VirtualCareNS,71878,
Unknown,,VirtualCareNS,2023-10-01,Nova Scotians have registered for VirtualCareNS,78314,
Unknown,,VirtualCareNS,2023-11-01,Nova Scotians have registered for VirtualCareNS,81001,
Unknown,,VirtualCareNS,2023-12-01,Nova Scotians have registered for VirtualCareNS,85952,
Central,,Primary Care Clinics,2022-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,30314,
Central,,Primary Care Clinics,2022-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,32631,
Central,,Primary Care Clinics,2022-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,34916,
Central,,Primary Care Clinics,2022-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,38567,
Central,,Primary Care Clinics,2022-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,41152,
Central,,Primary Care Clinics,2022-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,44075,
Central,,Primary Care Clinics,2022-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,47305,
Central,,Primary Care Clinics,2022-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,50011,
Central,,Primary Care Clinics,2022-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,53100,
Central,,Primary Care Clinics,2023-01-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,55645,
Central,,Primary Care Clinics,2023-02-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,58509,
Central,,Primary Care Clinics,2023-03-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,61284,
Central,,Primary Care Clinics,2023-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,64483,
Central,,Primary Care Clinics,2023-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,66820,
Central,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,68844,
Central,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,71569,
Central,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,71569,
Central,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,68580,
Central,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,70471,
Central,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,72743,
Central,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,74318,
Eastern,,Primary Care Clinics,2022-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,9310,
Eastern,,Primary Care Clinics,2022-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,9558,
Eastern,,Primary Care Clinics,2022-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,9890,
Eastern,,Primary Care Clinics,2022-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,10476,
Eastern,,Primary Care Clinics,2022-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,10906,
Eastern,,Primary Care Clinics,2022-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,11236,
Eastern,,Primary Care Clinics,2022-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,11894,
Eastern,,Primary Care Clinics,2022-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,12398,
Eastern,,Primary Care Clinics,2022-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,12934,
Eastern,,Primary Care Clinics,2023-01-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13415,
Eastern,,Primary Care Clinics,2023-02-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13931,
Eastern,,Primary Care Clinics,2023-03-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14277,
Eastern,,Primary Care Clinics,2023-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14797,
Eastern,,Primary Care Clinics,2023-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14854,
Eastern,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14923,
Eastern,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,15078,
