Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
2000,Zone 4 - Central,F,20 to 29,30198,223,0.74
2000,Zone 4 - Central,F,30 to 39,34639,455,1.31
2000,Zone 4 - Central,F,40 to 49,32980,934,2.83
2000,Zone 4 - Central,F,50 to 59,24173,1667,6.9
2000,Zone 4 - Central,F,60 to 69,14990,1818,12.13
2000,Zone 4 - Central,F,70 to 79,12052,1934,16.05
2000,Zone 4 - Central,F,80 +,8411,1219,14.49
2000,Zone 4 - Central,M,20 to 29,28067,184,0.66
2000,Zone 4 - Central,M,30 to 39,31448,467,1.48
2000,Zone 4 - Central,M,40 to 49,30424,985,3.24
2000,Zone 4 - Central,M,50 to 59,22981,2138,9.3
2000,Zone 4 - Central,M,60 to 69,14044,2405,17.12
2000,Zone 4 - Central,M,70 to 79,8889,1819,20.46
2000,Zone 4 - Central,M,80 +,4006,784,19.57
2000,Zone 3 - Eastern,F,20 to 29,10667,126,1.18
2000,Zone 3 - Eastern,F,30 to 39,12657,256,2.02
2000,Zone 3 - Eastern,F,40 to 49,15258,565,3.7
2000,Zone 3 - Eastern,F,50 to 59,12308,1011,8.21
2000,Zone 3 - Eastern,F,60 to 69,8521,1214,14.25
2000,Zone 3 - Eastern,F,70 to 79,6858,1276,18.61
2000,Zone 3 - Eastern,F,80 +,5643,919,16.29
2000,Zone 3 - Eastern,M,20 to 29,10920,92,0.84
2000,Zone 3 - Eastern,M,30 to 39,12412,222,1.79
2000,Zone 3 - Eastern,M,40 to 49,15102,647,4.28
2000,Zone 3 - Eastern,M,50 to 59,12773,1340,10.49
2000,Zone 3 - Eastern,M,60 to 69,8292,1484,17.9
2000,Zone 3 - Eastern,M,70 to 79,5414,1258,23.24
2000,Zone 3 - Eastern,M,80 +,2853,619,21.7
2000,Zone 2 - Northern,F,20 to 29,9980,90,0.9
2000,Zone 2 - Northern,F,30 to 39,11943,189,1.58
2000,Zone 2 - Northern,F,40 to 49,12834,360,2.81
2000,Zone 2 - Northern,F,50 to 59,10147,680,6.7
2000,Zone 2 - Northern,F,60 to 69,6797,843,12.4
2000,Zone 2 - Northern,F,70 to 79,5746,894,15.56
2000,Zone 2 - Northern,F,80 +,4572,683,14.94
2000,Zone 2 - Northern,M,20 to 29,9938,79,0.79
2000,Zone 2 - Northern,M,30 to 39,11645,156,1.34
2000,Zone 2 - Northern,M,40 to 49,12670,474,3.74
2000,Zone 2 - Northern,M,50 to 59,10322,907,8.79
2000,Zone 2 - Northern,M,60 to 69,6578,1003,15.25
